"bin","initial","conv","fn1","fn0","lrt","beta","sigma2","xi","tau_k"
149,1,0,7664.63738180397,7664.63736755657,-2.84948018816067e-05,0.000546767339060943,1.06925607740857,3.26655925956435e-08,3.49278834050442e-08
150,1,0,7664.637381402,7664.63736755657,-2.76908576779533e-05,0.000546769883778542,1.06925607686253,3.28965464869378e-08,3.5174832238949e-08
151,1,0,7664.63738060127,7664.63736755657,-2.60893939412199e-05,0.000546770132924025,1.06925607543261,3.34348563459718e-08,3.57504232791471e-08
152,1,0,7664.63738273918,7664.63736755657,-3.03652159345802e-05,0.00054677076424146,1.06925607846908,3.2118263250791e-08,3.43426482107784e-08
153,1,0,7664.63738177853,7664.63736755657,-2.84439065580955e-05,0.000546770778273647,1.06925607707493,3.26986378205876e-08,3.49632172017355e-08
154,1,0,7664.63738194321,7664.63736755657,-2.87732746073743e-05,0.000546771174806399,1.06925607736301,3.26048741992943e-08,3.48629598892518e-08
155,1,0,7664.63737890562,7664.63736755657,-2.26981028390583e-05,0.000546771635555793,1.06925607301284,3.46548354605539e-08,3.70548932754581e-08
156,1,0,7664.63737934003,7664.63736755657,-2.35669122048421e-05,0.000546762344761188,1.06925605436626,6.3472772711727e-08,6.78686465094277e-08
157,1,0,7664.63737711608,7664.63736755657,-1.9119021089864e-05,0.000546771971653004,1.06925604619718,7.24778048809517e-08,7.74973310840571e-08
158,1,0,7664.6373777486,7664.63736755657,-2.03840500034858e-05,0.000546772433835924,1.06925604984568,6.86706431962902e-08,7.34265006844273e-08
159,1,0,7664.63737984097,7664.63736755657,-2.45687933784211e-05,0.000546767518492538,1.06925605740835,6.08168436993585e-08,6.50287785179959e-08
160,1,0,7664.6373762224,7664.63736755657,-1.73316511791199e-05,0.000546766560053431,1.0692560436267,7.63552259194616e-08,8.16432867768662e-08
161,1,0,7664.63737861006,7664.63736755657,-2.21069713006727e-05,0.000546773800238266,1.06925605318456,6.53878994406267e-08,6.99164072819134e-08
162,1,0,7664.63737871546,7664.63736755657,-2.23177830775967e-05,0.000546769957564569,1.06925607221939,3.48065304000863e-08,3.7217093983181e-08
163,1,0,7664.63737818147,7664.63736755657,-2.1249796191114e-05,0.000546772003212704,1.06925607147545,3.51892795401112e-08,3.76263507991107e-08
164,1,0,7664.63737620742,7664.63736755657,-1.73017015185906e-05,0.000546785740564706,1.06925604273752,7.63570087502329e-08,8.16451930115479e-08
165,1,0,7664.63737978294,7664.63736755657,-2.44527309405385e-05,0.000546779959434922,1.06925605641601,6.13246667753252e-08,6.55717713572104e-08
166,1,0,7664.63737700573,7664.63736755657,-1.88983067346271e-05,0.000546788147097584,1.06925604559587,7.29570421171427e-08,7.80097583525476e-08
167,1,0,7664.52514023503,7664.63736755657,0.224454643079298,0.000843824411987425,1.06802480699558,0.00190727941260922,0.0020370217265386
168,1,0,7664.54187320536,7664.63736755657,0.190988702426694,0.000797952957944208,1.06812506561502,0.00177513264618443,0.0018960636741811
169,1,0,7664.39092419078,7664.63736755657,0.492886731575709,0.00113956420735545,1.06740715481626,0.00288870224662901,0.00308342144618562
170,1,0,7664.63737746321,7664.63736755657,-1.98132674995577e-05,0.000546773599058669,1.069256048236,7.13584332825756e-08,7.63004363800388e-08
171,1,0,7664.63738105274,7664.63736755657,-2.69923348241718e-05,0.000546766233486656,1.06925606107592,5.76046135768121e-08,6.15940822129427e-08
172,1,0,7664.63737769729,7664.63736755657,-2.02814335352741e-05,0.00054676099620128,1.0692560497007,7.03249341627085e-08,7.51953612982797e-08
173,1,0,7664.5415907054,7664.63736755657,0.19155370234148,0.000172885377425182,1.0681718005402,0.00171636656413391,0.00183337436319791
174,1,0,7664.61123497573,7664.63736755657,0.0522651616774965,0.000351479516166453,1.06870406862028,0.000878152107332512,0.000938484729973732
175,1,0,7664.63737928938,7664.63736755657,-2.34656090469798e-05,0.00054675643729194,1.06925605551912,6.37629750004061e-08,6.81789471370985e-08
176,1,0,7664.63737890368,7664.63736755657,-2.26942120207241e-05,0.000546748319832859,1.06925605359725,6.53920372493821e-08,6.99208316859585e-08
177,1,0,7664.63737777419,7664.63736755657,-2.04352436412591e-05,0.000546745267369269,1.06925604966254,7.02407270151387e-08,7.51053222936318e-08
178,1,0,7664.63737795552,7664.63736755657,-2.07978955586441e-05,0.000546766769650201,1.06925607178065,3.56087750767002e-08,3.80748989594333e-08
179,1,0,7664.63737756426,7664.63736755657,-2.00153663172387e-05,0.000546766769348123,1.06925607089178,3.59832961306011e-08,3.8475357838342e-08
180,1,0,7664.63737770424,7664.63736755657,-2.02953360712854e-05,0.000546765871042342,1.06925607108652,3.5855900695481e-08,3.83391395029182e-08
181,1,0,7664.63738040312,7664.63736755657,-2.56931052717846e-05,0.000546767018112349,1.06925607575458,3.35989704016642e-08,3.59259032410777e-08
182,1,0,7664.6373805948,7664.63736755657,-2.60764645645395e-05,0.000546765530616122,1.06925607590321,3.34732604567871e-08,3.57914871237103e-08
183,1,0,7664.63738313659,7664.63736755657,-3.11600324494066e-05,0.000546766224506538,1.06925607974872,3.18913195659696e-08,3.40999873371223e-08
184,1,0,7664.6373812051,7664.63736755657,-2.72970573860221e-05,0.00054676827464766,1.06925607721901,3.30487664996472e-08,3.533759442434e-08
185,1,0,7664.63738162305,7664.63736755657,-2.81329630524851e-05,0.000546770509119199,1.06925607786062,3.2784720880002e-08,3.50552620619061e-08
186,1,0,7664.63738085049,7664.63736755657,-2.65878279606113e-05,0.000546769475762305,1.0692560768471,3.32658032826127e-08,3.55696623111337e-08
187,1,0,7664.637380545,7664.63736755657,-2.59768585237907e-05,0.000546767063395736,1.06925607639838,3.34685749972308e-08,3.57864771841839e-08
188,1,0,7664.63738057181,7664.63736755657,-2.60304859693861e-05,0.000546764930085829,1.06925607640414,3.34149964526653e-08,3.57291880000352e-08
189,1,0,7664.637381352,7664.63736755657,-2.75908550975146e-05,0.000546764660360804,1.06925607748162,3.29023738900475e-08,3.51810632455059e-08
190,1,0,7664.63738020555,7664.63736755657,-2.52979480137583e-05,0.000546767323703181,1.06925607535456,3.37045284255454e-08,3.6038771785975e-08
191,1,0,7664.63737963332,7664.63736755657,-2.41534944507293e-05,0.000546766976807286,1.06925607411945,3.40643855342598e-08,3.6423551143654e-08
192,1,0,7664.63738025978,7664.63736755657,-2.54064252658281e-05,0.000546765796641029,1.06925607511492,3.36365008836788e-08,3.59660329154819e-08
